Ort,Datum,Breitengrad,Längengrad,Bericht_Link,Mindestangabe Teilnehmerzahl,Höchstangabe Teilnehmerzahl
Eschwege,20.01.2024,51.1733518,10.0680632,https://www.hna.de/lokales/witzenhausen/eschwege-ort28660/demo-gegen-rechts-in-eschwege-kein-bock-auf-nazis-92788937.html,1500.0,
Frankfurt am Main,20.01.2024,50.11227,8.67669,https://www.fnp.de/frankfurt/demo-gegen-afd-und-rechtsruck-in-frankfurt-aufruf-verbreitete-sich-wie-lauffeuer-92784575.html,35000.0,50000.0
Freiburg,20.01.2024,47.9960901,7.8494005,https://www.swr.de/swraktuell/baden-wuerttemberg/viele-proteste-gegen-rechts-und-die-afd-in-bw-100.html,5000.0,
Gaggenau,20.01.2024,48.8030291,8.3201799,https://bnn.de/mittelbaden/gaggenau/gaggenauer-zeigen-gesicht-fuer-demokratie-und-gegen-fremdenhass,200.0,250.0
Gießen,20.01.2024,50.57975006,8.662073135,https://www.n-tv.de/regionales/hessen/Mehr-als-12-000-Menschen-in-Giessen-bei-Demo-gegen-rechts-article24677061.html,12000.0,
Gladbeck,20.01.2024,51.5707,6.9854,https://www.radioemscherlippe.de/artikel/tausende-gladbecker-und-bottroper-demonstrieren-gegen-rechts-1880996.html,1000.0,
Haiming,20.01.2024,48.2124846,12.8875587,https://www.pnp.de/lokales/landkreis-altoetting/brandmauer-gegen-rechts-15262031,200.0,
Halle,20.01.2024,51.4825041,11.9705452,https://dubisthalle.de/demo-gegen-rechts-zieht-durch-halle-saale1,16000.0,
Hannover,20.01.2024,52.3744779,9.7385532,https://www.haz.de/lokales/hannover/demo-gegen-rechts-in-hannover-das-waren-die-schilder-und-plakate-PPFHVRQSNVAMXHYDQ7OCIGDG6A.html,35000.0,
Heidelberg,20.01.2024,49.4067512,8.6871452,"https://www.mannheimer-morgen.de/fotos_fotostrecke,-fotostrecke-nie-wieder-ist-jetzt-bilder-der-demonstration-in-heidelberg-_mediagalid,42508.html",18000.0,
Karlsruhe,20.01.2024,49.0068705,8.4034195,https://www.ka-news.de/region/karlsruhe/demo-gegen-rechts-demokratie-verteidigen-in-karlsruhe-art-3077282,20000.0,25000.0
Kassel,20.01.2024,51.3154546,9.4924096,https://www.tagesschau.de/inland/regional/hessen/hr-frankfurt-kassel-giessen-limburg-tausende-wollen-in-hessen-am-samstag-gegen-rechts-demonstrieren-100.html,15000.0,
Kaufbeuren,20.01.2024,47.883,10.626,https://www.allgaeuer-zeitung.de/allgaeu/kaufbeuren/demo-gegen-rechts-kaufbeuren-mahnwache-neptunbrunnen-20-1-2024_arid-689231,200.0,
Kevelaer,20.01.2024,51.5802996,6.2456273,https://rp-online.de/nrw/staedte/kevelaer/kevelaer-rund-3000-demonstranten-bei-kundgebung-gegen-rechts_aid-105432783,3000.0,
Koblenz,20.01.2024,50.3533278,7.5943951,https://www.swr.de/swraktuell/rheinland-pfalz/koblenz/koblenz-demonstration-gegen-rechtsextremismus-102.html,5000.0,7000.0
Kusel,20.01.2024,49.5384,7.4065,https://www.swr.de/swraktuell/rheinland-pfalz/kaiserslautern/demos-gegen-rechtsextremismus-termine-in-der-westpfalz-100.html,250.0,
Limburg,20.01.2024,50.38675,8.05944,https://www.mittelhessen.de/lokales/kreis-limburg-weilburg/landkreis-limburg-weilburg/demo-gegen-rechts-3000-gehen-in-limburg-auf-die-strasse-3232204,3000.0,
Lingen,20.01.2024,52.5224659,7.316584,https://www.noz.de/lokales/lingen/galerie/lingen-ist-und-bleibt-bunt-in-bildern-zehntausend-demonstrieren-in-lingen-gegen-rassismus-und-die-46306669,10000.0,
Lippstadt,20.01.2024,51.6747074,8.347194,https://www.hellwegradio.de/artikel/2100-menschen-bei-demo-gegen-rechts-in-lippstadt-1880587.html,2100.0,
Lübeck,20.01.2024,53.866444,10.684738,"https://www.ndr.de/nachrichten/schleswig-holstein/Demo-gegen-rechts-in-Luebeck-Stimmen-der-Demo-Teilnehmer,demo4110.html",2000.0,
Luckenwalde,20.01.2024,52.0902045,13.1741882,https://www.maz-online.de/lokales/teltow-flaeming/luckenwalde/luckenwalde-600-menschen-bei-demo-gegen-rechts-FTSCL3P3MJC57BC3L3VVCFDCSM.html,600.0,
Lüneburg,20.01.2024,53.248706,10.407855,https://www.landeszeitung.de/lokales/lueneburg-lk/lueneburg/alle-aktuellen-entwicklungen-demos-gegen-rechts-in-lueneburg-3PBVAXPRVRH4FLTOAH6A4AT36U.html,5000.0,
Magdeburg,20.01.2024,52.1315889,11.6399609,https://www.mdr.de/nachrichten/sachsen-anhalt/tausende-protest-demo-rechts-extremismus-102.html,1800.0,
Nürnberg,20.01.2024,49.453872,11.077298,https://www.infranken.de/lk/nuernberg/ganz-nuernberg-hasst-die-afd-15000-teilnehmer-bei-gross-demo-eine-frau-zeigt-hitlergruss-art-5820814,15000.0,20000.0
Nürtingen,20.01.2024,48.6265854,9.3365463,https://www.ntz.de/nuertingen/artikel_ueber-1000-menschen-demonstrieren-auf-dem-nuertinger-schillerplatz.html,1000.0,
Offenburg,20.01.2024,48.4716556,7.944378,https://www.bo.de/lokales/ortenau/mischt-euch-ein-seid-ungemutlich-demo-gegen-rechts-in-offenburg#,5000.0,
Oldenburg,20.01.2024,53.1389753,8.2146017,"https://www.nwzonline.de/oldenburg/demo-in-oldenburg-gegen-afd-und-rechtsextremismus-17000-am-samstag-vor-dem-schloss-und-in-der-innenstadt_a_4,0,3997560964.html",17000.0,
Osterholz,20.01.2024,53.2604518,8.7435145,,,
Pforzheim,20.01.2024,48.8908846,8.7029532,https://bnn.de/pforzheim/pforzheim-stadt/nazis-raus-3000-demonstranten-gegen-rechts-in-pforzheim,3000.0,
Pirmasens,20.01.2024,49.1996961,7.6087847,https://www.wochenblatt-reporter.de/wochenblatt-pirmasens/c-lokales/klares-zeichen-gegen-hass-und-rechtsextremismus_a525840,100.0,500.0
Recklinghausen,20.01.2024,51.6143815,7.1978546,https://www.radiovest.de/artikel/12000-teilnehmer-bei-demo-gegen-rechts-in-recklinghausen-1880408.html,12000.0,
Rotenburg (Wümme),20.01.2024,53.1108906,9.4049292,https://www.kreiszeitung.de/lokales/rotenburg/rotenburg-ort120515/rotenburg-setzt-ein-klares-zeichen-gegen-rechtsextremismus-92787590.html,1000.0,
Rott am Inn,20.01.2024,47.9827688,12.1277148,"https://www.br.de/nachrichten/bayern/streit-um-fluechtlingsunterkunft-drei-demos-in-rott-am-inn,U1w4WQh",350.0,
Spremberg,20.01.2024,51.5714513,14.3804302,https://www.zeit.de/news/2024-01/20/rund-300-menschen-demonstrieren-in-spremberg-gegen-rechts,300.0,
Stuttgart,20.01.2024,48.7784485,9.1800132,https://www.zvw.de/stuttgart-region/demo-gegen-afd-in-stuttgart-tausende-menschen-protestieren-auf-dem-schlossplatz_arid-763312,20000.0,50000.0
Syke,20.01.2024,52.9131332,8.8198737,https://www.weser-kurier.de/landkreis-diepholz/stadt-syke/solidaritaet-in-syke-grosser-protest-gegen-rechtsextreme-ideologien-doc7tsp3maq0w41dd3swcgs,500.0,1000.0
Überlingen,20.01.2024,47.7667246,9.1666488,https://www.swr.de/swraktuell/baden-wuerttemberg/friedrichshafen/demo-gegen-rechts-in-ueberlingen-100.html,1500.0,
Uelzen,20.01.2024,52.96495056,10.56063747,https://www.az-online.de/uelzen/stadt-uelzen/fotostrecke-zusammenstehen-fuer-demokratie-und-toleranz-die-grosse-demo-aus-uelzens-herzogenplatz-92787062.html,1100.0,
Ulm,20.01.2024,48.3974003,9.9934336,https://www.swr.de/swraktuell/baden-wuerttemberg/ulm/kundgebung-gegen-rechts-ulm-100.html,10000.0,
Weinheim,20.01.2024,49.54605103,8.671090126,https://www.wnoz.de/nachrichten/bergstrasse/rund-1000-teilnehmer-bei-anti-nazi-demo-in-weinheim-349768.html,1000.0,
Werl,20.01.2024,51.5584,7.9114,https://www.soester-anzeiger.de/lokales/werl/bunt-statt-braun-rund-500-werler-nehmen-an-demonstration-vor-der-basilika-teil-92787409.html,500.0,
Westerland/Sylt,20.01.2024,54.9059163,8.3130412,https://www.t-online.de/region/hamburg/id_100325790/sylt-rund-1000-insulaner-bei-demo-gegen-rechts-dabei.html,600.0,1000.0
Wildeshausen,20.01.2024,52.897103,8.4364342,https://www.kreiszeitung.de/lokales/oldenburg/wildeshausen-ort49926/600-menschen-bei-kundgebung-gegen-die-afd-in-wildeshausen-92786801.html,600.0,
Wilhelmshaven,20.01.2024,53.5278793,8.106301,"https://www.nwzonline.de/wilhelmshaven/demonstration-gegen-rechts-die-kundgebung-in-wilhelmshaven-in-bildern_a_4,0,3998672978.html",2500.0,
Wuppertal,20.01.2024,51.2562,7.1508,https://www.wz.de/nrw/wuppertal/10-000-bei-wuppertaler-demo-gegen-ausgrenzung-hass-und-hetze_aid-105507263,10000.0,
Würzburg,20.01.2024,49.79245,9.932966,https://www.merkur.de/bayern/nach-aufruf-der-omas-gegen-rechts-grosser-zulauf-bei-demonstration-in-bayern-92786760.html,3000.0,
Amt Neuhaus,21.01.2024,53.2435648,10.9658361,https://www.svz.de/lokales/neuhaus/artikel/proteste-gegen-rechts-und-die-afd-in-der-gemeinde-amt-neuhaus-46311361,320.0,
